Field,Required,Description,Example,Your_Value
country_name,Yes,Official country name,Singapore,
country_flag,Yes,Country flag emoji,🇸🇬,
country_slug,Yes,URL-friendly name (lowercase with hyphens),singapore,
region,Yes,Geographical region (Asia/Europe/Africa/Americas/Oceania),Asia,
visa_required,Yes,Is visa required? (true/false),true,
summary,Yes,Brief visa summary,Indian passport holders must obtain a Singapore visa before traveling,
published,Yes,Should this country be live on website? (true/false),true,
featured,No,Should this be featured on homepage? (true/false),false,
meta_title,No,SEO page title,Singapore Visa for Indians - Complete Guide,
meta_description,No,SEO description,Complete Singapore visa guide for Indian citizens. Requirements processing time and fees.,
keywords,No,SEO keywords (comma separated),"singapore visa, tourist visa, business visa",
photo_size,Yes,Passport photo size,35mm x 45mm,
photo_background,Yes,Photo background color,white,
photo_format,No,Digital photo format,JPEG,
photo_specs,No,Photo specifications (separate with |),Neutral expression|Face straight|No glasses|Recent photo,
visa_type_1_name,No,First visa type,Tourist Visa,
visa_type_1_purpose,No,Purpose of this visa,Tourism and family visits,
visa_type_1_entry,No,Entry type (Single/Multiple/Both),Single/Multiple,
visa_type_1_validity,No,How long visa is valid,30 days to 2 years,
visa_type_1_stay,No,Max stay per visit,30 days per visit,
visa_type_1_extendable,No,Can be extended? (true/false),false,
visa_type_1_notes,No,Additional notes,Validity decided by immigration,
visa_type_2_name,No,Second visa type,Business Visa,
visa_type_2_purpose,No,Purpose of this visa,Business meetings and conferences,
visa_type_2_entry,No,Entry type,Single/Multiple,
visa_type_2_validity,No,How long visa is valid,30 days to 2 years,
visa_type_2_stay,No,Max stay per visit,30 days per visit,
visa_type_2_extendable,No,Can be extended? (true/false),false,
visa_type_2_notes,No,Additional notes,,
visa_type_3_name,No,Third visa type,Transit Visa,
visa_type_3_purpose,No,Purpose of this visa,Transit through country,
visa_type_3_entry,No,Entry type,Single,
visa_type_3_validity,No,How long visa is valid,96 hours,
visa_type_3_stay,No,Max stay per visit,96 hours,
visa_type_3_extendable,No,Can be extended? (true/false),false,
visa_type_3_notes,No,Additional notes,Only for connecting flights,
document_1,No,First required document,Passport,
document_1_details,No,Document 1 requirements,Valid 6+ months with 2 blank pages,
document_1_mandatory,No,Is document 1 required? (true/false),true,
document_2,No,Second required document,Visa Application Form,
document_2_details,No,Document 2 requirements,Filled and signed completely,
document_2_mandatory,No,Is document 2 required? (true/false),true,
document_3,No,Third required document,Passport Photo,
document_3_details,No,Document 3 requirements,Recent photo meeting size requirements,
document_3_mandatory,No,Is document 3 required? (true/false),true,
document_4,No,Fourth required document,Flight Itinerary,
